#string_protein_1	string_protein_id_2	species_2	bitscore	start_1	end_1	start_2	end_2	size_2
362663.ECP_0045	362663.ECP_1723	362663	88.6	38	433	43	452	459
362663.ECP_0045	362663.ECP_2589	362663	54.3	68	374	109	407	463
362663.ECP_0045	362663.ECP_2745	362663	258.1	8	434	9	434	445
362663.ECP_0045	362663.ECP_2854	362663	98.2	65	442	71	467	472
362663.ECP_0045	362663.ECP_2937	362663	114.4	65	442	64	457	464
362663.ECP_0045	362663.ECP_3307	362663	52.0	26	217	28	218	496
362663.ECP_0045	362663.ECP_4091	362663	92.0	25	384	40	420	477
362663.ECP_0045	362663.ECP_4354	362663	50.8	63	379	81	396	500
362663.ECP_0046	362663.ECP_0046	362663	366.3	1	176	1	176	176
362663.ECP_0046	362663.ECP_3442	362663	112.8	2	163	7	170	183
362663.ECP_0047	362663.ECP_0047	362663	1239.2	1	620	1	620	620
362663.ECP_0047	362663.ECP_0539	362663	168.3	22	517	24	538	558
362663.ECP_0048	362663.ECP_0048	362663	333.2	1	159	1	159	159
362663.ECP_0049	362663.ECP_0049	362663	156.0	1	77	1	77	77
362663.ECP_0050	362663.ECP_0050	362663	212.2	1	104	1	104	104
362663.ECP_0051	362663.ECP_0051	362663	584.3	1	282	1	282	282
362663.ECP_0052	362663.ECP_0052	362663	255.4	1	125	1	125	125
362663.ECP_0053	362663.ECP_0053	362663	564.3	1	273	1	273	273
362663.ECP_0054	362663.ECP_0054	362663	651.0	1	322	1	322	322
362663.ECP_0054	362663.ECP_0698	362663	187.2	2	317	7	325	328
362663.ECP_0057	362663.ECP_0057	362663	1629.8	1	784	1	784	784
362663.ECP_0058	362663.ECP_0058	362663	566.2	1	271	1	271	271
362663.ECP_0059	362663.ECP_0059	362663	456.4	1	219	1	219	219
362663.ECP_0059	362663.ECP_1078	362663	120.6	15	218	94	305	319
362663.ECP_0059	362663.ECP_2597	362663	110.5	9	216	79	300	326
362663.ECP_0059	362663.ECP_2772	362663	100.1	14	218	2	224	260
362663.ECP_0060	362663.ECP_0060	362663	1991.1	1	968	1	968	968
362663.ECP_0061	362663.ECP_0061	362663	1626.7	1	783	1	783	783
362663.ECP_0062	362663.ECP_0062	362663	483.0	1	231	1	231	231
362663.ECP_0062	362663.ECP_2783	362663	54.7	5	128	6	125	215
362663.ECP_0062	362663.ECP_3688	362663	369.8	1	231	1	231	231
362663.ECP_0062	362663.ECP_4443	362663	293.5	2	231	1	227	228
362663.ECP_0063	362663.ECP_0063	362663	1047.7	1	500	1	500	500
362663.ECP_0064	362663.ECP_0064	362663	1160.6	1	566	1	566	566
362663.ECP_0064	362663.ECP_2749	362663	50.4	233	537	168	455	492
362663.ECP_0065	362663.ECP_0065	362663	587.0	1	281	1	281	281
362663.ECP_0065	362663.ECP_2408	362663	58.2	138	278	128	281	285
362663.ECP_0065	362663.ECP_3672	362663	52.0	152	277	246	384	392
362663.ECP_0065	362663.ECP_4116	362663	56.6	52	277	76	305	312
362663.ECP_0065	362663.ECP_4167	362663	58.9	185	277	177	268	283
362663.ECP_0066	362663.ECP_0066	362663	586.3	1	282	1	282	282
362663.ECP_0067	362663.ECP_0067	362663	290.0	1	140	1	140	140
362663.ECP_0068	362663.ECP_0068	362663	499.2	1	254	1	254	254
362663.ECP_0068	362663.ECP_2356	362663	58.9	14	151	29	167	219
362663.ECP_0068	362663.ECP_3191	362663	57.0	20	151	32	164	220
362663.ECP_0069	362663.ECP_0069	362663	471.1	1	232	1	232	232
362663.ECP_0069	362663.ECP_0135	362663	73.9	19	230	25	236	308
362663.ECP_0069	362663.ECP_0161	362663	91.7	18	221	30	239	265
362663.ECP_0069	362663.ECP_0209	362663	112.8	1	219	1	230	343
362663.ECP_0069	362663.ECP_0285	362663	83.2	2	161	169	338	351
362663.ECP_0069	362663.ECP_0305	362663	99.4	2	217	367	594	1245
362663.ECP_0069	362663.ECP_0429	362663	118.6	19	206	21	205	255
362663.ECP_0069	362663.ECP_0509	362663	82.0	25	217	362	557	590
362663.ECP_0069	362663.ECP_0510	362663	55.8	19	221	361	565	593
362663.ECP_0069	362663.ECP_0556	362663	77.8	16	192	26	200	225
362663.ECP_0069	362663.ECP_0562	362663	59.7	73	211	14	151	152
362663.ECP_0069	362663.ECP_0620	362663	97.8	19	221	25	235	271
362663.ECP_0069	362663.ECP_0675	362663	123.6	1	226	1	232	241
362663.ECP_0069	362663.ECP_0771	362663	67.0	11	206	270	479	490
362663.ECP_0069	362663.ECP_0777	362663	112.5	29	217	28	216	352
362663.ECP_0069	362663.ECP_0808	362663	94.4	19	223	349	552	578
362663.ECP_0069	362663.ECP_0823	362663	124.8	19	223	21	229	240
362663.ECP_0069	362663.ECP_0834	362663	60.8	19	222	339	528	530
362663.ECP_0069	362663.ECP_0842	362663	77.8	18	218	24	246	612
362663.ECP_0069	362663.ECP_0869	362663	151.0	1	219	46	266	404
362663.ECP_0069	362663.ECP_0879	362663	124.4	2	212	3	223	242
362663.ECP_0069	362663.ECP_0894	362663	94.7	18	208	27	221	648
362663.ECP_0069	362663.ECP_0900	362663	85.1	20	219	361	561	573
362663.ECP_0069	362663.ECP_0901	362663	79.3	15	217	368	570	588
362663.ECP_0069	362663.ECP_0925	362663	92.4	19	227	363	575	582
362663.ECP_0069	362663.ECP_0945	362663	121.7	17	209	29	212	255
362663.ECP_0069	362663.ECP_0954	362663	58.5	18	206	338	513	635
362663.ECP_0069	362663.ECP_1110	362663	95.1	19	211	10	207	214
362663.ECP_0069	362663.ECP_1120	362663	135.2	17	219	35	237	378
362663.ECP_0069	362663.ECP_1191	362663	77.0	7	230	14	241	275
362663.ECP_0069	362663.ECP_1242	362663	73.2	19	224	23	234	252
362663.ECP_0069	362663.ECP_1293	362663	57.0	18	218	42	257	337
362663.ECP_0069	362663.ECP_1294	362663	80.1	19	217	44	252	334
362663.ECP_0069	362663.ECP_1348	362663	85.1	18	219	33	240	268
362663.ECP_0069	362663.ECP_1349	362663	65.1	17	219	25	248	330
362663.ECP_0069	362663.ECP_1370	362663	65.5	2	96	4	101	111
362663.ECP_0069	362663.ECP_1371	362663	84.3	110	212	1	103	246
362663.ECP_0069	362663.ECP_1443	362663	132.1	19	208	24	213	337
362663.ECP_0069	362663.ECP_1657	362663	72.8	18	219	19	222	249
362663.ECP_0069	362663.ECP_1702	362663	108.2	19	192	21	196	217
362663.ECP_0069	362663.ECP_1802	362663	63.5	19	232	24	221	251
362663.ECP_0069	362663.ECP_1841	362663	73.6	18	207	26	220	504
362663.ECP_0069	362663.ECP_1939	362663	80.5	2	227	344	576	600
362663.ECP_0069	362663.ECP_1940	362663	89.4	19	219	334	537	570
362663.ECP_0069	362663.ECP_2033	362663	98.2	21	232	26	235	255
362663.ECP_0069	362663.ECP_2168	362663	97.4	18	223	20	228	262
362663.ECP_0069	362663.ECP_2188	362663	69.7	29	207	43	226	506
362663.ECP_0069	362663.ECP_2221	362663	97.1	18	212	305	508	529
362663.ECP_0069	362663.ECP_2242	362663	60.5	18	161	20	158	205
362663.ECP_0069	362663.ECP_2253	362663	77.0	19	189	14	180	218
362663.ECP_0069	362663.ECP_2345	362663	105.5	2	232	6	254	257
362663.ECP_0069	362663.ECP_2445	362663	130.6	19	227	22	234	365
362663.ECP_0069	362663.ECP_2548	362663	82.0	18	209	29	228	503
362663.ECP_0069	362663.ECP_2643	362663	136.3	19	223	48	258	400
362663.ECP_0069	362663.ECP_2920	362663	52.0	13	169	16	182	225
362663.ECP_0069	362663.ECP_2921	362663	78.2	18	217	22	223	225
362663.ECP_0069	362663.ECP_3120	362663	67.4	19	209	29	225	269
362663.ECP_0069	362663.ECP_3282	362663	106.7	19	217	28	232	269
362663.ECP_0069	362663.ECP_3289	362663	105.5	19	229	23	236	241
362663.ECP_0069	362663.ECP_3345	362663	79.7	4	206	1	217	499
362663.ECP_0069	362663.ECP_3366	362663	122.5	1	223	12	240	252
362663.ECP_0069	362663.ECP_3543	362663	126.7	18	211	23	215	356
362663.ECP_0069	362663.ECP_3547	362663	95.1	19	229	25	236	237
362663.ECP_0069	362663.ECP_3548	362663	86.3	26	229	32	253	255
362663.ECP_0069	362663.ECP_3556	362663	95.9	25	208	28	215	222
362663.ECP_0069	362663.ECP_3574	362663	70.5	18	224	22	235	254
362663.ECP_0069	362663.ECP_3575	362663	84.3	1	208	3	230	268
362663.ECP_0069	362663.ECP_3578	362663	85.1	19	225	296	502	911
362663.ECP_0069	362663.ECP_3605	362663	92.0	19	222	21	230	256
362663.ECP_0069	362663.ECP_3641	362663	94.4	19	219	42	251	334
362663.ECP_0069	362663.ECP_3642	362663	66.2	17	212	25	236	327
362663.ECP_0069	362663.ECP_3670	362663	60.8	1	207	16	231	525
362663.ECP_0069	362663.ECP_3822	362663	68.6	21	225	68	270	278
362663.ECP_0069	362663.ECP_3828	362663	108.6	19	228	489	701	707
362663.ECP_0069	362663.ECP_3924	362663	77.8	2	232	11	254	257
362663.ECP_0069	362663.ECP_3948	362663	77.4	19	208	24	219	501
362663.ECP_0069	362663.ECP_4253	362663	143.7	18	217	22	221	371
362663.ECP_0069	362663.ECP_4314	362663	102.8	19	221	23	230	234
362663.ECP_0069	362663.ECP_4315	362663	75.1	25	217	36	237	284
362663.ECP_0069	362663.ECP_4330	362663	79.0	13	212	19	227	510
362663.ECP_0069	362663.ECP_4339	362663	61.6	17	161	26	181	226
362663.ECP_0069	362663.ECP_4340	362663	68.6	25	219	31	235	252
362663.ECP_0069	362663.ECP_4348	362663	93.6	20	217	25	240	262
362663.ECP_0069	362663.ECP_4478	362663	67.8	19	217	29	232	500
362663.ECP_0069	362663.ECP_4554	362663	108.6	19	228	489	701	707
362663.ECP_0069	362663.ECP_4777	362663	61.6	19	198	343	509	555
362663.ECP_0070	362663.ECP_0070	362663	1053.9	1	536	1	536	536
362663.ECP_0070	362663.ECP_0776	362663	58.5	53	266	8	221	229
362663.ECP_0070	362663.ECP_2446	362663	59.3	49	266	59	278	291
362663.ECP_0070	362663.ECP_2447	362663	58.2	1	249	4	252	277
362663.ECP_0071	362663.ECP_0071	362663	674.5	1	327	1	327	327
362663.ECP_0072	362663.ECP_0072	362663	1136.7	1	551	1	551	551
362663.ECP_0072	362663.ECP_0506	362663	183.0	9	550	9	565	566
362663.ECP_0073	362663.ECP_0073	362663	419.9	1	201	1	201	201
362663.ECP_0074	362663.ECP_0074	362663	963.8	1	466	1	466	466
362663.ECP_0074	362663.ECP_0125	362663	84.3	102	459	473	820	865
362663.ECP_0074	362663.ECP_0784	362663	83.6	121	437	142	450	753
362663.ECP_0074	362663.ECP_1329	362663	98.6	123	459	207	564	891
362663.ECP_0075	362663.ECP_0075	362663	748.4	1	363	1	363	363
362663.ECP_0075	362663.ECP_1131	362663	83.2	3	357	25	414	416
362663.ECP_0076	362663.ECP_0076	362663	1080.9	1	523	1	523	523
362663.ECP_0077	362663.ECP_0077	362663	55.8	1	28	1	28	28
362663.ECP_0078	362663.ECP_0078	362663	656.0	1	314	1	314	314
362663.ECP_0078	362663.ECP_0636	362663	79.7	19	295	7	283	300
362663.ECP_0078	362663.ECP_2328	362663	52.8	22	174	11	158	312
362663.ECP_0078	362663.ECP_3211	362663	56.2	27	210	12	196	312
362663.ECP_0078	362663.ECP_3911	362663	55.8	39	311	1	290	295
362663.ECP_0079	362663.ECP_0079	362663	1188.3	1	574	1	574	574
362663.ECP_0079	362663.ECP_0568	362663	320.5	1	531	1	538	593
362663.ECP_0079	362663.ECP_0886	362663	217.6	7	559	6	539	572
362663.ECP_0079	362663.ECP_2398	362663	176.8	1	548	5	543	564
362663.ECP_0079	362663.ECP_3878	362663	417.2	4	566	13	559	562
362663.ECP_0079	362663.ECP_3962	362663	467.6	4	566	1	543	548
362663.ECP_0080	362663.ECP_0080	362663	323.9	1	163	1	163	163
362663.ECP_0080	362663.ECP_3877	362663	50.1	4	73	10	78	96
362663.ECP_0081	362663.ECP_0081	362663	60.1	1	28	1	28	28
362663.ECP_0082	362663.ECP_0082	362663	687.6	1	334	1	334	334
362663.ECP_0082	362663.ECP_0418	362663	58.5	1	277	4	277	360
362663.ECP_0082	362663.ECP_1373	362663	88.6	5	285	7	290	332
362663.ECP_0082	362663.ECP_1564	362663	59.7	1	187	7	190	342
362663.ECP_0082	362663.ECP_1605	362663	81.3	3	330	4	331	341
362663.ECP_0082	362663.ECP_2190	362663	63.9	1	207	2	204	346
362663.ECP_0082	362663.ECP_2675	362663	70.9	5	304	7	304	337
362663.ECP_0082	362663.ECP_2754	362663	150.2	1	316	7	321	335
362663.ECP_0082	362663.ECP_2850	362663	66.2	3	332	4	330	343
362663.ECP_0082	362663.ECP_3533	362663	61.6	3	319	8	324	331
362663.ECP_0082	362663.ECP_3951	362663	52.0	63	273	28	239	296
362663.ECP_0082	362663.ECP_3953	362663	113.6	3	311	4	311	330
362663.ECP_0082	362663.ECP_4143	362663	75.9	3	305	12	312	341
362663.ECP_0082	362663.ECP_4490	362663	57.0	1	186	5	182	315
362663.ECP_0082	362663.ECP_4513	362663	71.6	1	273	6	275	332
362663.ECP_0083	362663.ECP_0083	362663	313.2	1	152	1	152	152
362663.ECP_0084	362663.ECP_0084	362663	634.4	1	313	1	313	313
362663.ECP_0085	362663.ECP_0085	362663	246.1	1	121	1	121	121
362663.ECP_0086	362663.ECP_0086	362663	1201.8	1	588	1	588	588
362663.ECP_0086	362663.ECP_0665	362663	139.0	15	574	13	617	633
362663.ECP_0087	362663.ECP_0087	362663	1011.1	1	495	1	495	495
362663.ECP_0087	362663.ECP_0088	362663	56.2	22	343	24	317	452
362663.ECP_0087	362663.ECP_0090	362663	55.8	111	388	107	348	438
362663.ECP_0088	362663.ECP_0087	362663	56.2	24	317	22	343	495
362663.ECP_0088	362663.ECP_0088	362663	913.7	1	452	1	452	452
362663.ECP_0088	362663.ECP_0090	362663	52.0	88	360	94	347	438
362663.ECP_0089	362663.ECP_0089	362663	716.8	1	360	1	360	360
362663.ECP_0090	362663.ECP_0087	362663	55.8	107	348	111	388	495
362663.ECP_0090	362663.ECP_0088	362663	52.0	94	347	88	360	452
362663.ECP_0090	362663.ECP_0090	362663	896.0	1	438	1	438	438
362663.ECP_0090	362663.ECP_0093	362663	68.9	61	309	74	333	491
362663.ECP_0091	362663.ECP_0091	362663	819.3	1	414	1	414	414
362663.ECP_0091	362663.ECP_0664	362663	171.4	91	403	55	365	370
362663.ECP_0092	362663.ECP_0092	362663	715.7	1	355	1	355	355
362663.ECP_0093	362663.ECP_0090	362663	68.9	74	333	61	309	438
362663.ECP_0093	362663.ECP_0093	362663	999.6	1	491	1	491	491
362663.ECP_0093	362663.ECP_4482	362663	146.0	22	475	3	445	457
362663.ECP_0094	362663.ECP_0094	362663	617.8	1	306	1	306	306
362663.ECP_0094	362663.ECP_0440	362663	180.3	58	305	102	350	364
362663.ECP_0095	362663.ECP_0095	362663	562.4	1	276	1	276	276
362663.ECP_0096	362663.ECP_0096	362663	855.5	1	420	1	420	420
362663.ECP_0097	362663.ECP_0097	362663	766.1	1	383	1	383	383
362663.ECP_0098	362663.ECP_0098	362663	634.4	1	305	1	305	305
362663.ECP_0099	362663.ECP_0099	362663	348.6	1	170	1	170	170
362663.ECP_0100	362663.ECP_0100	362663	1858.2	1	901	1	901	901
362663.ECP_0100	362663.ECP_1851	362663	51.2	826	896	153	218	221
362663.ECP_0101	362663.ECP_0101	362663	270.0	1	132	1	132	132
362663.ECP_0101	362663.ECP_1705	362663	55.1	1	106	1	105	135
362663.ECP_0102	362663.ECP_0102	362663	134.0	1	65	1	65	65
362663.ECP_0103	362663.ECP_0103	362663	503.1	1	247	1	247	247
362663.ECP_0104	362663.ECP_0104	362663	418.7	1	206	1	206	206
362663.ECP_0105	362663.ECP_0105	362663	717.2	1	347	1	347	347
362663.ECP_0105	362663.ECP_2510	362663	141.4	123	336	265	485	511
362663.ECP_0106	362663.ECP_0106	362663	807.4	1	400	1	400	400
362663.ECP_0106	362663.ECP_3044	362663	129.4	65	399	74	407	407
362663.ECP_0106	362663.ECP_3415	362663	123.2	7	397	3	398	398
362663.ECP_0107	362663.ECP_0107	362663	938.3	1	461	1	461	461
362663.ECP_0107	362663.ECP_2944	362663	119.0	92	350	10	265	326
362663.ECP_0107	362663.ECP_3045	362663	307.4	80	454	116	493	497
362663.ECP_0107	362663.ECP_3414	362663	314.7	75	454	102	484	493
362663.ECP_0108	362663.ECP_0108	362663	303.5	1	146	1	146	146
362663.ECP_0109	362663.ECP_0109	362663	604.7	1	297	1	297	297
362663.ECP_0109	362663.ECP_1240	362663	71.2	92	275	67	258	284
362663.ECP_0110	362663.ECP_0110	362663	381.7	1	183	1	183	183
362663.ECP_0110	362663.ECP_0882	362663	81.3	64	174	60	186	276
362663.ECP_0111	362663.ECP_0111	362663	575.9	1	284	1	284	284
362663.ECP_0112	362663.ECP_0112	362663	912.5	1	456	1	456	456
362663.ECP_0112	362663.ECP_0461	362663	373.2	5	451	2	451	457
362663.ECP_0112	362663.ECP_0607	362663	595.5	10	443	19	452	460
362663.ECP_0112	362663.ECP_1454	362663	317.8	6	455	22	477	499
362663.ECP_0112	362663.ECP_2057	362663	60.8	66	236	70	237	283
362663.ECP_0112	362663.ECP_2196	362663	256.9	10	391	13	404	489
362663.ECP_0112	362663.ECP_2626	362663	281.2	1	429	1	431	466
362663.ECP_0112	362663.ECP_3987	362663	345.5	5	439	3	441	461
362663.ECP_0112	362663.ECP_4358	362663	60.1	19	401	15	397	445
362663.ECP_0112	362663.ECP_4462	362663	352.8	2	454	10	470	470
362663.ECP_0113	362663.ECP_0113	362663	1229.5	1	593	1	593	593
362663.ECP_0113	362663.ECP_0115	362663	117.9	516	579	1	64	79
362663.ECP_0113	362663.ECP_0117	362663	99.0	522	577	1	56	56
362663.ECP_0113	362663.ECP_0224	362663	98.6	1	144	8	155	166
362663.ECP_0113	362663.ECP_0239	362663	60.1	6	150	6	168	172
362663.ECP_0113	362663.ECP_3537	362663	226.5	1	175	1	179	394
362663.ECP_0113	362663.ECP_4026	362663	230.3	1	169	1	169	377
362663.ECP_0114	362663.ECP_0114	362663	191.4	1	94	1	94	94
362663.ECP_0114	362663.ECP_0116	362663	127.1	2	94	4	96	96
362663.ECP_0114	362663.ECP_0118	362663	115.2	2	93	4	95	96
362663.ECP_0115	362663.ECP_0113	362663	117.9	1	64	516	579	593
362663.ECP_0115	362663.ECP_0115	362663	168.3	1	79	1	79	79
362663.ECP_0115	362663.ECP_0117	362663	102.4	7	62	1	56	56
362663.ECP_0116	362663.ECP_0114	362663	127.1	4	96	2	94	94
362663.ECP_0116	362663.ECP_0116	362663	197.2	1	96	1	96	96
362663.ECP_0116	362663.ECP_0118	362663	112.5	1	95	1	95	96
362663.ECP_0117	362663.ECP_0113	362663	99.0	1	56	522	577	593
362663.ECP_0117	362663.ECP_0115	362663	102.4	1	56	7	62	79
362663.ECP_0117	362663.ECP_0117	362663	118.6	1	56	1	56	56
362663.ECP_0118	362663.ECP_0114	362663	115.2	4	95	2	93	94
362663.ECP_0118	362663.ECP_0116	362663	112.5	1	95	1	95	96
362663.ECP_0118	362663.ECP_0118	362663	193.7	1	96	1	96	96
362663.ECP_0119	362663.ECP_0119	362663	508.1	1	254	1	254	254
362663.ECP_0119	362663.ECP_2636	362663	51.6	9	100	2	90	444
362663.ECP_0119	362663.ECP_3058	362663	95.5	7	234	5	234	254
362663.ECP_0119	362663.ECP_3099	362663	83.6	18	225	16	222	249
362663.ECP_0119	362663.ECP_3190	362663	57.4	23	239	21	232	258
362663.ECP_0119	362663.ECP_3309	362663	59.7	10	145	31	166	263
362663.ECP_0119	362663.ECP_3705	362663	146.0	10	247	7	244	258
362663.ECP_0119	362663.ECP_3896	362663	57.4	23	169	17	165	229
