#string_protein_id	preferred_name	protein_size	annotation
1034809.SLUG_02060	CCB52620.1	255	annotation not available
1034809.SLUG_02070	CCB52621.1	171	Belongs to the UPF0312 family. 
1034809.SLUG_02080	CCB52622.1	39	annotation not available
1034809.SLUG_02090	CCB52623.1	468	annotation not available
1034809.SLUG_02100	CCB52624.1	173	annotation not available
1034809.SLUG_02110	CCB52625.1	447	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
1034809.SLUG_02120	CCB52626.1	106	annotation not available
1034809.SLUG_02130	CCB52627.1	89	annotation not available
1034809.SLUG_02140	CCB52628.1	265	Belongs to the arylamine N-acetyltransferase family. 
1034809.SLUG_02150	CCB52629.1	251	annotation not available
1034809.SLUG_02160	CCB52630.1	188	annotation not available
1034809.SLUG_02170	CCB52631.1	511	annotation not available
1034809.SLUG_02180	CCB52632.1	256	annotation not available
1034809.SLUG_02190	CCB52633.1	477	annotation not available
1034809.SLUG_02200	CCB52634.1	355	Uncharacterized protein; Low similarity to LuxE of Photobacterium phosphoreum
1034809.SLUG_02210	CCB52635.1	190	annotation not available
1034809.SLUG_02220	CCB52636.1	460	annotation not available
1034809.SLUG_02230	CCB52637.1	1010	annotation not available
1034809.SLUG_02240	CCB52638.1	306	Flavin transferase that catalyzes the transfer of the FMN moiety of FAD and its covalent binding to the hydroxyl group of a threonine residue in a target flavoprotein. 
1034809.SLUG_02250	CCB52639.1	170	annotation not available
1034809.SLUG_02260	CCB52640.1	399	annotation not available
1034809.SLUG_02270	CCB52641.1	101	annotation not available
1034809.SLUG_02280	lpdA	450	annotation not available
1034809.SLUG_02290	CCB52643.1	315	annotation not available
1034809.SLUG_02300	CCB52644.1	346	annotation not available
1034809.SLUG_02310	CCB52645.1	429	annotation not available
1034809.SLUG_02320	CCB52646.1	112	annotation not available
1034809.SLUG_02330	CCB52647.1	254	annotation not available
1034809.SLUG_02340	CCB52648.1	109	annotation not available
1034809.SLUG_02350	CCB52649.1	257	annotation not available
1034809.SLUG_02360	CCB52650.1	619	annotation not available
1034809.SLUG_02370	CCB52651.1	649	annotation not available
1034809.SLUG_02380	pmi	312	Belongs to the mannose-6-phosphate isomerase type 1 family. 
1034809.SLUG_02390	CCB52653.1	304	annotation not available
1034809.SLUG_02400	CCB52654.1	38	Doubtful CDS
1034809.SLUG_02410	CCB52655.1	121	annotation not available
1034809.SLUG_02420	CCB52656.1	77	annotation not available
1034809.SLUG_02430	CCB52657.1	368	annotation not available
1034809.SLUG_02440	oxaA	258	annotation not available
1034809.SLUG_02450	odcI	722	annotation not available
1034809.SLUG_02460	arcD	436	annotation not available
1034809.SLUG_02470	CCB52661.1	306	annotation not available
1034809.SLUG_02480	CCB52662.1	128	annotation not available
1034809.SLUG_02490	CCB52663.1	147	annotation not available
1034809.SLUG_02500	CCB52664.1	69	annotation not available
1034809.SLUG_02510	CCB52665.1	63	annotation not available
1034809.SLUG_02520	CCB52666.1	113	annotation not available
1034809.SLUG_02530	CCB52667.1	340	annotation not available
1034809.SLUG_02540	CCB52668.1	296	annotation not available
1034809.SLUG_02550	CCB52669.1	265	annotation not available
1034809.SLUG_02560	CCB52670.1	110	annotation not available
1034809.SLUG_02570	CCB52671.1	334	annotation not available
1034809.SLUG_02580	CCB52672.1	403	annotation not available
1034809.SLUG_02590	CCB52673.1	203	annotation not available
1034809.SLUG_02600	CCB52674.1	45	annotation not available
1034809.SLUG_02610	CCB52675.1	538	Belongs to the BCCT transporter (TC 2.A.15) family. 
1034809.SLUG_02620	nagA	389	annotation not available
1034809.SLUG_02630	CCB52677.1	81	annotation not available
1034809.SLUG_02640	nagB	244	Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion
1034809.SLUG_02650	nanE	223	Converts N-acetylmannosamine-6-phosphate (ManNAc-6-P) to N- acetylglucosamine-6-phosphate (GlcNAc-6-P)
1034809.SLUG_02660	CCB52680.1	266	annotation not available
1034809.SLUG_02670	CCB52681.1	287	annotation not available
1034809.SLUG_02680	nanA	293	Catalyzes the reversible aldol cleavage of N-acetylneuraminic acid (sialic acid; Neu5Ac) to form pyruvate and N-acetylmannosamine (ManNAc) via a Schiff base intermediate
1034809.SLUG_02690	CCB52683.1	509	Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
1034809.SLUG_02700	CCB52684.1	406	annotation not available
1034809.SLUG_02710	psuG	303	Catalyzes the reversible cleavage of pseudouridine 5'- phosphate (PsiMP) to ribose 5-phosphate and uracil. Functions biologically in the cleavage direction, as part of a pseudouridine degradation pathway
1034809.SLUG_02720	CCB52686.1	368	annotation not available
1034809.SLUG_02730	CCB52687.1	272	annotation not available
1034809.SLUG_02740	CCB52688.1	193	annotation not available
1034809.SLUG_02750	CCB52689.1	266	annotation not available
1034809.SLUG_02760	CCB52690.1	215	annotation not available
1034809.SLUG_02770	pcp	212	Removes 5-oxoproline from various penultimate amino acid residues except L-proline
1034809.SLUG_02780	CCB52692.1	308	annotation not available
1034809.SLUG_02790	CCB52693.1	238	annotation not available
1034809.SLUG_02800	CCB52694.1	457	annotation not available
1034809.SLUG_02810	CCB52695.1	326	annotation not available
1034809.SLUG_02820	CCB52696.1	643	annotation not available
1034809.SLUG_02830	CCB52697.1	148	annotation not available
1034809.SLUG_02840	CCB52698.1	94	annotation not available
1034809.SLUG_02850	CCB52699.1	453	annotation not available
1034809.SLUG_02860	CCB52700.1	320	Belongs to the UPF0176 family
1034809.SLUG_02870	drp35	325	annotation not available
1034809.SLUG_02880	CCB52702.1	188	annotation not available
1034809.SLUG_02890	CCB52703.1	134	annotation not available
1034809.SLUG_02900	rbsK	294	Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5-phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway. 
1034809.SLUG_02910	CCB52705.1	211	annotation not available
1034809.SLUG_02920	CCB52706.1	280	annotation not available
1034809.SLUG_02930	CCB52707.1	238	annotation not available
1034809.SLUG_02940	CCB52708.1	67	annotation not available
1034809.SLUG_02950	CCB52709.1	123	annotation not available
1034809.SLUG_02960	CCB52710.1	280	annotation not available
1034809.SLUG_02970	CCB52712.1	119	annotation not available
1034809.SLUG_02980	CCB52713.1	350	annotation not available
1034809.SLUG_02990	slsF	659	annotation not available
1034809.SLUG_03000	CCB52716.1	668	annotation not available
1034809.SLUG_03010	CCB52717.1	945	annotation not available
1034809.SLUG_03020	CCB52718.1	162	annotation not available
1034809.SLUG_03030	CCB52719.1	50	annotation not available
1034809.SLUG_03040	CCB52720.1	94	annotation not available
1034809.SLUG_03050	CCB52722.1	367	annotation not available
1034809.SLUG_03060	tnpB	690	annotation not available
1034809.SLUG_03070	CCB52724.1	121	annotation not available
1034809.SLUG_03080	CCB52725.1	137	annotation not available
1034809.SLUG_03090	CCB52726.1	63	annotation not available
1034809.SLUG_03100	CCB52727.1	106	annotation not available
1034809.SLUG_03110	CCB52728.1	351	annotation not available
1034809.SLUG_03120	CCB52729.1	47	annotation not available
1034809.SLUG_03130	CCB52730.1	42	Might be a remnant
1034809.SLUG_03140	arcA	412	annotation not available
1034809.SLUG_03150	CCB52732.1	253	annotation not available
1034809.SLUG_03160	CCB52733.1	379	annotation not available
1034809.SLUG_03170	CCB52734.1	280	annotation not available
1034809.SLUG_03180	azoR	208	Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity
1034809.SLUG_03190	CCB52736.1	33	annotation not available
1034809.SLUG_03200	capA	181	annotation not available
1034809.SLUG_03210	capB	231	annotation not available
1034809.SLUG_03220	CCB52739.1	255	annotation not available
1034809.SLUG_03240	capE	340	UDP-glucose 4-epimerase; CDS contains a frameshift after residue 141
1034809.SLUG_03250	capF	369	annotation not available
1034809.SLUG_03260	capG	375	Belongs to the UDP-N-acetylglucosamine 2-epimerase family. 
1034809.SLUG_03270	CCB52744.1	207	Putative chloramphenicol O-acetyltransferase; Homology to cap5H of S. aureus
1034809.SLUG_03280	CCB52745.1	371	Glycosyltransferase, group 1 family protein; Homology to cap5I of S. aureus
1034809.SLUG_03290	CCB52746.1	393	Polysaccharide biosynthesis protein; Homology to cap5K of S. aureus
1034809.SLUG_03300	CCB52747.1	420	annotation not available
1034809.SLUG_03310	capL	402	annotation not available
1034809.SLUG_03320	capM	185	annotation not available
1034809.SLUG_03330	capN	289	annotation not available
1034809.SLUG_03340	capO	423	Belongs to the UDP-glucose/GDP-mannose dehydrogenase family
1034809.SLUG_03350	capP	379	Belongs to the UDP-N-acetylglucosamine 2-epimerase family. 
1034809.SLUG_03360	phoB	482	Belongs to the alkaline phosphatase family. 
1034809.SLUG_03370	CCB52754.1	82	annotation not available
1034809.SLUG_03380	CCB52755.1	221	annotation not available
1034809.SLUG_03390	CCB52756.1	302	annotation not available
1034809.SLUG_03400	CCB52757.1	249	annotation not available
1034809.SLUG_03410	CCB52758.1	660	annotation not available
1034809.SLUG_03420	CCB52759.1	149	annotation not available
1034809.SLUG_03430	CCB52760.1	159	annotation not available
1034809.SLUG_03440	CCB52761.1	224	annotation not available
1034809.SLUG_03450	CCB52762.1	436	annotation not available
1034809.SLUG_03460	CCB52763.1	249	annotation not available
1034809.SLUG_03470	CCB52764.1	38	annotation not available
1034809.SLUG_03480	slsA	1930	annotation not available
1034809.SLUG_03490	slsD	1619	Signal peptide protein, YSIRK family; CDS contains a nonsense mutation after residue 1136
1034809.SLUG_03500	cysH	243	annotation not available
1034809.SLUG_03510	cysJ	614	Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L-cysteine from sulfate. The flavoprotein component catalyzes the electron flow from NADPH -> FAD -> FMN to the hemoprotein component. 
1034809.SLUG_03520	cysI	569	Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L-cysteine from sulfate. 
1034809.SLUG_03530	cobA	259	Belongs to the precorrin methyltransferase family. 
1034809.SLUG_03540	CCB52772.1	203	annotation not available
1034809.SLUG_03550	CCB52773.1	299	annotation not available
1034809.SLUG_03560	sat	392	Belongs to the sulfate adenylyltransferase family. 
1034809.SLUG_03570	cysC	199	Catalyzes the synthesis of activated sulfate. 
1034809.SLUG_03580	CCB52776.1	406	annotation not available
1034809.SLUG_03590	sceB	256	annotation not available
1034809.SLUG_03600	nrdD	615	annotation not available
1034809.SLUG_03610	nrdG	178	Activation of anaerobic ribonucleoside-triphosphate reductase under anaerobic conditions by generation of an organic free radical, using S-adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine
1034809.SLUG_03620	CCB52782.1	40	annotation not available
1034809.SLUG_03630	CCB52783.1	430	annotation not available
1034809.SLUG_03640	cudT	541	Belongs to the BCCT transporter (TC 2.A.15) family. 
1034809.SLUG_03650	CCB52787.1	186	Belongs to the GbsR family. 
1034809.SLUG_03660	cudA	496	Belongs to the aldehyde dehydrogenase family. 
1034809.SLUG_03670	cudB	568	Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the oxidation of choline to betaine aldehyde and betaine aldehyde to glycine betaine at the same rate. 
1034809.SLUG_03680	CCB52791.1	392	annotation not available
1034809.SLUG_03690	CCB52792.1	89	Belongs to the UPF0346 family. 
1034809.SLUG_03700	CCB52793.1	149	annotation not available
1034809.SLUG_03710	CCB52794.1	530	annotation not available
1034809.SLUG_03720	CCB52796.1	874	Belongs to the PEP-utilizing enzyme family. 
1034809.SLUG_03730	CCB52797.1	275	Bifunctional serine/threonine kinase and phosphorylase involved in the regulation of the pyruvate, phosphate dikinase (PPDK) by catalyzing its phosphorylation/dephosphorylation. 
1034809.SLUG_03740	mqo2	499	annotation not available
1034809.SLUG_03750	CCB52800.1	234	annotation not available
